id,name,model_name,price,price_currency,body_type,source,location,drive,mileage,mileage_unit,color,year_of_manufacture,annual_insurance,torque,cylinders,fuel_type,aspiration,engine_size,transmission,horse_power,seat_material,number_of_seats,heated_seats,air_conditioning,trimming,infotainment_system,phone_connectivity,auto_start_and_stop,keyless_entry_and_push_button_start,steering_mounted_paddle_shifts,urban_consumption,fuel_tank_capacity,highway_consumption,lane_assist,reverse_camera,adaptive_cruise_control,standard_cruise_control,antilock_braking_system,automatic_brake_hold_system,tyre_pressure_monitoring_system,number_of_airbags,gps_tracker
6887,Volkswagen Golf TSI,Golf TSI,1549999,KES,Hatchback,Kenyan Used,"Nairobi, Kenya",2WD,61000,KM,Black,2015,62000,250,4,Petrol,Turbo/Supercharger,1400,Automatic,150,Fabric,5,FALSE,Multi Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,16,,18,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6886,Jaguar F pace,F pace,15900000,KES,SUV,Foreign Used,United Kingdom,4WD,29000,Miles,Grey,2021,636000,700,8,Petrol,Turbo/Supercharger,5000,Automatic,550,Leather,5,TRUE,Multi Zone,Carbon Fibre,Apple Car play,TRUE,TRUE,TRUE,TRUE,8,83,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6885,Volkswagen Golf TSI,Golf TSI,2549999,KES,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,77000,KM,White,2017,102000,250,4,Petrol,Turbo/Supercharger,1400,Automatic,150,Fabric,5,TRUE,Multi Zone,Polished Metal,Apple Car play,TRUE,TRUE,TRUE,TRUE,16,,18,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6884,Toyota Probox,Probox / Succeed,849999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,318000,KM,White,2014,34000,145,4,Petrol,Natural,1500,Automatic,109,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,FALSE,TRUE,FALSE,16,,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,TRUE
6883,Toyota Vellfire,Vellfire,3910000,KES,Van,Foreign Used,Japan,AWD,93000,KM,Black,2017,156400,235,4,Petrol,Natural,2500,Automatic,175,Fabric,6,TRUE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,11,65,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6882,Suzuki Swift,Swift,1449999,KES,Hatchback,Foreign Used,"Nairobi, Kenya",2WD,66000,KM,Grey,2017,58000,150,4,Petrol,Natural,1500,Automatic,110,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,16,,18,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,TRUE
6881,Audi A3,A3,999999,KES,Hatchback,Kenyan Used,"Nairobi, Kenya",2WD,124000,KM,Silver,2009,48000,200,4,Petrol,Turbo/Supercharger,1400,Automatic,125,Fabric,5,FALSE,Dual Zone,Polished Metal,Audi MM1 infotainment,TRUE,TRUE,TRUE,FALSE,16,,18,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,6,TRUE
6880,Toyota Probox,Probox / Succeed,1499999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,80000,KM,Yellow,2017,60000,145,4,Petrol,Natural,1500,Automatic,109,Fabric,5,FALSE,Dual Zone,Plastic,,FALSE,FALSE,TRUE,FALSE,15,,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE
6879,Nissan Dayz,DAYZ,799999,KES,Hatchback,Foreign Used,Japan,2WD,98000,KM,Pink,2017,32000,56,3,Petrol,,660,Automatic,48,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,TRUE,TRUE,FALSE,18,40,22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,TRUE
6878,Mazda Bongo,Bongo,649999,KES,Van,Kenyan Used,"Nairobi, Kenya",2WD,208000,KM,Yellow,2008,26000,189,4,Petrol,Natural,2000,Automatic,149,Leather,14,FALSE,,,,TRUE,FALSE,FALSE,FALSE,10,,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE
6877,Subaru Impreza,Impreza,1999999,KES,Hatchback,Kenyan Used,"Nairobi, Kenya",AWD,109000,KM,Blue,2016,80000,195,4,Petrol,Natural,2000,Automatic,155,Fabric,5,TRUE,Multi Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,10,,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6876,Subaru XV,XV,1899999,KES,SUV,Kenyan Used,"Nairobi, Kenya",AWD,115000,KM,White,2016,76000,195,4,Petrol,Natural,2000,Automatic,155,Leather,5,TRUE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,10,,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,6,TRUE
6875,Audi A4,A4,4946000,KES,Station Wagon,Foreign Used,Japan,AWD,48000,KM,Black,2017,197840,370,4,Petrol,Turbo/Supercharger,2000,Automatic,252,Fabric,5,TRUE,Dual Zone,Polished Metal,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,10.5,58,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6873,Volvo,S90,4946000,KES,Saloon,Foreign Used,Japan,AWD,51000,KM,Sky Blue,2017,197840,400,4,Petrol,Turbo/Supercharger,2000,Automatic,316,Leather,5,TRUE,Dual Zone,Wood,Apple Car play,TRUE,TRUE,TRUE,TRUE,9,60,11.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6872,Audi TT RS,TT,9780000,KES,Coupe,Foreign Used,United Kingdom,AWD,40000,Miles,White,2018,391200,480,5,Petrol,Turbo/Supercharger,2500,Automatic,400,Leather,4,TRUE,Dual Zone,Carbon Fibre,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,10,55,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
6871,Range Rover Sport,Range Rover Sport,7890000,KES,SUV,Foreign Used,Japan,4WD,80000,KM,Navy Blue,2017,315600,450,6,Petrol,Turbo/Supercharger,3000,Automatic,340,Leather,5,TRUE,Multi Zone,Polished Metal,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,7,100,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6870,Mazda Bongo,Bongo,599999,KES,Van,Kenyan Used,"Nairobi, Kenya",2WD,209000,KM,White,2008,24000,189,4,Petrol,Natural,2000,Automatic,149,Leather,14,FALSE,,,,FALSE,FALSE,FALSE,FALSE,10,,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE
6868,Mazda Axela,Axela,1399999,KES,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,89000,KM,Blue,2014,89000,145,4,Petrol,Natural,1500,Automatic,109,Fabric,5,FALSE,Dual Zone,Polished Metal,Mazda Connect infotainment,TRUE,TRUE,TRUE,FALSE,14,,16,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6867,Nissan Wingroad,Wingroad,649999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,139000,KM,Grey,2009,26000,137,4,Petrol,Natural,1500,Automatic,109,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,FALSE,TRUE,FALSE,16,,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE
6866,Honda Fit Shuttle,Fit shuttle,1099999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,151000,KM,White,2013,44000,170,4,Petrol Hybrid,Natural,1500,Automatic,137,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,TRUE,TRUE,FALSE,32,,34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
6865,Toyota Harrier,Harrier,3810000,KES,SUV,Foreign Used,Japan,2WD,61000,KM,White,2017,152400,193,4,Petrol,,2000,Automatic,151,Leather,5,TRUE,Dual Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,13,60,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6864,Range Rover Sport,Range Rover Sport,13099999,KES,SUV,Foreign Used,United Kingdom,AWD,38000,Miles,Bronze,2018,524000,700,6,Diesel,Turbo/Supercharger,3000,Automatic,306,Leather,5,TRUE,Multi Zone,Polished Metal,Apple Car play,TRUE,TRUE,TRUE,TRUE,10,86,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6863,Jeep Grand Cherokee SRT8,Grand cherokee,9371000,KES,SUV,Foreign Used,Japan,AWD,50000,KM,Black,2017,374840,637,8,Petrol,Turbo/Supercharger,6400,Automatic,475,Leather,5,TRUE,Multi Zone,Carbon Fibre,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,4,93.5,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6862,Audi Q3,Q3,2995000,KES,SUV,Foreign Used,Japan,2WD,38000,KM,White,2017,119800,250,4,Petrol,Turbo/Supercharger,1400,Automatic,150,Leather,5,TRUE,Dual Zone,Wood,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,16,64,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6860,Nissan GTR,GTR,18800000,KES,Coupe,Foreign Used,Japan,AWD,11000,KM,Red,2018,752000,628,6,Petrol,Turbo/Supercharger,3800,Automatic,565,Leather,4,TRUE,Dual Zone,Carbon Fibre,Apple Car play,TRUE,TRUE,TRUE,TRUE,6.5,74,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,TRUE
6859,BMW X7,X7,14772000,KES,SUV,Foreign Used,Japan,AWD,36000,KM,White,2020,590880,750,8,Petrol,Turbo/Supercharger,4400,Automatic,523,Leather,7,TRUE,Multi Zone,Wood,,TRUE,TRUE,TRUE,TRUE,5,83,8.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,TRUE
